title,brand,price,rating,reviews,url,ram_gb,storage_gb,cpu
"HP CHROMEBOOK 14 G5 | 4GB RAM DDR4 | 16GB SSD EMMC | 14"" SCREEN | PLAYSTORE | Update 2029",No Brand,11879.01,0.0,0.0,https:,4.0,4.0,other
Dell LAPTOP Chromebook 11 | 3120 P22T | 4GB Ram | 16GB Storage | Playstore Supported | Chromebook,,8075.0,1.0,1.0,https:,4.0,4.0,other
HP Elite C1030 Chromebook Laptop | 128GB SSD | 16GB RAM | Core i7 10th Gen | 13.3″ Touch Screen -  360 Convertible - Windows 10 Installed,No Brand,68900.0,0.0,0.0,https:,16.0,128.0,i7
Samsung Notebook 9 NP900X3T  | i7 8th Gen | 8GB RAM | 256GB SSD | 13.3″ FHD | Light Titan - 7 day checking warranty- Samsung laptop,No Brand,48509.01,1.0,2.0,https:,8.0,8.0,i7
"Dell 3180/3100 Chromebook 11.6 inches HD screen, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS / Windows 10",Dell,8150.0,4.571148184494603,1019.0,https:,4.0,4.0,other
Dell Chromebook P22T with Touch screen – 4GB RAM | 16GB eMMC | 11.6″ HD Display | Chrome OS (No Play Store) | 7 Days Checking Warranty,No Brand,8299.0,0.0,0.0,https:,4.0,4.0,other
"HP EliteBook 840 G7 | Core i5-10310U 10th Generation | 16GB DDR4 RAM | Intel UHD Graphics | 256GB PCIe NVMe SSD | 14"" FHD IPS Display",No Brand,87500.0,0.0,0.0,https:,0.0,16.0,i5
Lenovo ThinkPad T450 Core-i5-5th Gen 8 GB RAM 256 GB SSD 14″ Display,Lenovo Thinkplus,29000.0,0.0,0.0,https:,8.0,8.0,i5
LAPTOP ACER TravelMate P614 Core i5 10th Gen 8GB RAM 256GB 14″ Windows 11 Pro (Daraz Like New Laptops),No Brand,70000.0,0.0,0.0,https:,8.0,8.0,i5
"HP OMEN 15 GAMING LAPTOP i5-8300H + NAVEDIA GTX1060, 6GB unique, 16 memory + 512G solid state hard disk + 1TB mechanical hard disk, 15.5 inch screen, battery health 100%.",No Brand,126000.0,0.0,0.0,https:,0.0,1024.0,i5
"Lenovo Chromebook 100ee 2nd Gen | 11.6” HD  | 4GB RAM, 32GB eMMC | X360 Convertible | Webcam | Playstore Supported | 2029 Updateable | Laptop",No Brand,9999.0,0.0,0.0,https:,4.0,4.0,other
Acer | C720P | 128GB Storage | 2GB RAM  | 11.6″ Screen | Windows 10 | 8 Hours Battery |Windows Chromebook,No Brand,9999.0,5.0,1.0,https:,2.0,128.0,other
Daraz Like New Laptops - Hp 14 Chromebook || 4 GB Ram - 16GB Rom || FREE LAPTOP BAG AND CHARGER,Daraz Like New,9999.0,4.0,6.0,https:,4.0,4.0,other
Apple 2017 Macbook Laptop Core i5 8GB RAM 128GB SSD 4K Display 4hrs Battery Timming,No Brand,39598.02,5.0,2.0,https:,8.0,8.0,i5
